objectid,cdmid,title,interviewee,interviewer,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,youtubeid,fileid,collectionid
tchp10,10,"Megan Aprile, research essay",,,,,,,,,University of Washington Tacoma Community History Project,chp1991-01essay,Text,application/pdf,,,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,,,
tchp11,11,"Bill Otto, Interview transcript",,,,,,,,,University of Washington Tacoma Community History Project,chp1991-01trascript,Text,application/pdf,,,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,,,
tchp12,12,"Bill Otto, audio",,,,,,,,,University of Washington Tacoma Community History Project,chp1991-01audio,Sound,audio/mp3,,,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,,,
tchp13,13,Project bibliography,,,,,,,,,University of Washington Tacoma Community History Project,chp1991-01bibliography,Text,application/pdf,,,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,,,
tchp14,14,A Brief Study of Land Use by Indian and Pioneer Communities on the Key Peninsula,"Otto, Bill, 1900-","Aprile, Megan",1991,"The interview discusses Bill Otto's family and German heritage, his work in the lumber industry and as a family farmer. He also describes childhood activities in Longbranch, Washington, including playing baseball on a championship youth league baseball team in Pierce County.","Otto, Bill, 1900- --Interviews; Pioneers--Washington (State)--Key Peninsula--Interviews; Family farms--Washington (State)--Key Peninsula; German Americans--Washington (State)--Key Peninsula; Logging--Washington (State)--Key Peninsula; Youth league baseball--Washington (State)--Pierce County; Key Peninsula (Wash.)--Social life and customs--20th century; Longbranch (Wash.)--Social life and customs--20th century; Pierce County (Wash.)--Social life and customs--20th century",United States--Washington (State)--Longbranch; United States--Washington (State)--Key Peninsula; United States--Washington (State)--Pierce County,,,University of Washington Tacoma Community History Project,chp1991-01,text,cpd,,,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,,,
tchp15,15,"Dian Hathaway, research essay",,,,,,,,,University of Washington Tacoma Community History Project,chp1991-03essay,Text,application/pdf ,,,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,,,
tchp16,16,"Bob Gallucci, interview transcript",,,,,,,,,University of Washington Tacoma Community History Project,chp1991-03trascript,Text,application/pdf,,,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,,,
tchp17,17,chp1991-03_bibliography,,,,,,,,,University of Washington Tacoma Community History Project,chp1991-03bibliography,Text,application/pdf,,,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,,,
tchp18,18,Italians in Hilltop,"Gallucci, Bob, 1920-1996","Hathaway, Dian",1991,"The collection contains two interviews with Bob Gallucci, in which he discusses his experiences growing up as a second generation Italian American within a first generation immigrant extended family household in the Hilltop neighborhood of Tacoma, Washington during the pre- and post World War II years. Gallucci describes the attitudes of his immigrant parents, what life in Hilltop was like during the early and mid twentieth century, the current (1990s) problems of Hilltop, and his reasons for becoming active in issues relating to peace and social justice.","Gallucci, Bob, 1920-1996--Interviews; Italian Americans--Washington (State)--Tacoma--Interviews; Italian Americans--Washington (State)--Tacoma; Italian American families--Washington (State)--Tacoma; Hilltop (Tacoma, Wash.)--Social conditions--20th century; Hilltop (Tacoma, Wash.)--Social life and customs--20th century",United States--Washington (State)--Tacoma,,,University of Washington Tacoma Community History Project,chp1991-03,text,cpd,,,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,,,
tchp19,19,"Joseph Kosai, photograph",,,,,,,,,University of Washington Tacoma Community History Project,chp1991-04photograph,Image,image/jpg,,,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,,,
