location,count,link
"united states--washington (state)--tacoma",26,"erika-b.github.io/tchp_dev/browse.html#united%20states--washington%20(state)--tacoma"
"united states -- washington (state) -- tacoma",26,"erika-b.github.io/tchp_dev/browse.html#united%20states%20--%20washington%20(state)%20--%20tacoma"
"united states - washington (state) - tacoma",7,"erika-b.github.io/tchp_dev/browse.html#united%20states%20-%20washington%20(state)%20-%20tacoma"
"united states--washington (state)--pierce county",5,"erika-b.github.io/tchp_dev/browse.html#united%20states--washington%20(state)--pierce%20county"
"united states -- washington (state) -- pierce county",3,"erika-b.github.io/tchp_dev/browse.html#united%20states%20--%20washington%20(state)%20--%20pierce%20county"
"united states--washington (state)",2,"erika-b.github.io/tchp_dev/browse.html#united%20states--washington%20(state)"
"united state--washington (state)--tacoma",2,"erika-b.github.io/tchp_dev/browse.html#united%20state--washington%20(state)--tacoma"
"united states--washington--tacoma",2,"erika-b.github.io/tchp_dev/browse.html#united%20states--washington--tacoma"
"united states--washington (state)--seattle",2,"erika-b.github.io/tchp_dev/browse.html#united%20states--washington%20(state)--seattle"
"united states--washington (state)--olympia",2,"erika-b.github.io/tchp_dev/browse.html#united%20states--washington%20(state)--olympia"
"united states—washington (state)—pierce county",2,"erika-b.github.io/tchp_dev/browse.html#united%20states%E2%80%94washington%20(state)%E2%80%94pierce%20county"
"united states--washington (state)--longbranch",1,"erika-b.github.io/tchp_dev/browse.html#united%20states--washington%20(state)--longbranch"
"united states--washington (state)--key peninsula",1,"erika-b.github.io/tchp_dev/browse.html#united%20states--washington%20(state)--key%20peninsula"
"united states--washington (state)--hoqiuam",1,"erika-b.github.io/tchp_dev/browse.html#united%20states--washington%20(state)--hoqiuam"
"united states--washington (state) --tacoma",1,"erika-b.github.io/tchp_dev/browse.html#united%20states--washington%20(state)%20--tacoma"
"united states--washington (state)--fife",1,"erika-b.github.io/tchp_dev/browse.html#united%20states--washington%20(state)--fife"
"united states--washington (state)--squaxin island",1,"erika-b.github.io/tchp_dev/browse.html#united%20states--washington%20(state)--squaxin%20island"
"united states -- washington (state) -- mason county",1,"erika-b.github.io/tchp_dev/browse.html#united%20states%20--%20washington%20(state)%20--%20mason%20county"
"united states--kansas--wamego",1,"erika-b.github.io/tchp_dev/browse.html#united%20states--kansas--wamego"
"united states--kansas--topeka",1,"erika-b.github.io/tchp_dev/browse.html#united%20states--kansas--topeka"
"united states--washington (state)--auburn",1,"erika-b.github.io/tchp_dev/browse.html#united%20states--washington%20(state)--auburn"
"united states--washington (state)--chehalis",1,"erika-b.github.io/tchp_dev/browse.html#united%20states--washington%20(state)--chehalis"
"united states-- washington (state)--tacoma",1,"erika-b.github.io/tchp_dev/browse.html#united%20states--%20washington%20(state)--tacoma"
"united states --washington (state)--lakewood",1,"erika-b.github.io/tchp_dev/browse.html#united%20states%20--washington%20(state)--lakewood"
"united states--washington (state)--day island",1,"erika-b.github.io/tchp_dev/browse.html#united%20states--washington%20(state)--day%20island"
"united states--washington (state)--university place",1,"erika-b.github.io/tchp_dev/browse.html#united%20states--washington%20(state)--university%20place"
"united states -- washington (state) -- kitsap county",1,"erika-b.github.io/tchp_dev/browse.html#united%20states%20--%20washington%20(state)%20--%20kitsap%20county"
"united states -- illinois -- naval station great lakes",1,"erika-b.github.io/tchp_dev/browse.html#united%20states%20--%20illinois%20--%20naval%20station%20great%20lakes"
"united states -- washington (state) -- puyallup",1,"erika-b.github.io/tchp_dev/browse.html#united%20states%20--%20washington%20(state)%20--%20puyallup"
"united states -- washington (state) -- toppenish",1,"erika-b.github.io/tchp_dev/browse.html#united%20states%20--%20washington%20(state)%20--%20toppenish"
"united states -- washington (state) -- seattle",1,"erika-b.github.io/tchp_dev/browse.html#united%20states%20--%20washington%20(state)%20--%20seattle"
"united states -- washington (state) -- bremerton",1,"erika-b.github.io/tchp_dev/browse.html#united%20states%20--%20washington%20(state)%20--%20bremerton"
"united states -- washington (state) -- olympia",1,"erika-b.github.io/tchp_dev/browse.html#united%20states%20--%20washington%20(state)%20--%20olympia"
"united states--washington (state)--yakima",1,"erika-b.github.io/tchp_dev/browse.html#united%20states--washington%20(state)--yakima"
"united states--washington (state)--bremerton",1,"erika-b.github.io/tchp_dev/browse.html#united%20states--washington%20(state)--bremerton"
"united states--washington (state)--kitsap county",1,"erika-b.github.io/tchp_dev/browse.html#united%20states--washington%20(state)--kitsap%20county"
"united states--washington (state)--gig harbor",1,"erika-b.github.io/tchp_dev/browse.html#united%20states--washington%20(state)--gig%20harbor"
"united states -- washington (state) -- key peninsula",1,"erika-b.github.io/tchp_dev/browse.html#united%20states%20--%20washington%20(state)%20--%20key%20peninsula"
"united states -- washington (state) -- fife",1,"erika-b.github.io/tchp_dev/browse.html#united%20states%20--%20washington%20(state)%20--%20fife"
"united states -- oregon -- salem",1,"erika-b.github.io/tchp_dev/browse.html#united%20states%20--%20oregon%20--%20salem"
"united states -- mississippi -- moss point",1,"erika-b.github.io/tchp_dev/browse.html#united%20states%20--%20mississippi%20--%20moss%20point"
"united states -- washington (state) -- bangor",1,"erika-b.github.io/tchp_dev/browse.html#united%20states%20--%20washington%20(state)%20--%20bangor"
"united states--texas--mineola",1,"erika-b.github.io/tchp_dev/browse.html#united%20states--texas--mineola"
"united states -- washington (state) -- port angeles",1,"erika-b.github.io/tchp_dev/browse.html#united%20states%20--%20washington%20(state)%20--%20port%20angeles"
"united states -- washington (state) -- olympic peninsula",1,"erika-b.github.io/tchp_dev/browse.html#united%20states%20--%20washington%20(state)%20--%20olympic%20peninsula"
"united states - washington (state) - kitsap county",1,"erika-b.github.io/tchp_dev/browse.html#united%20states%20-%20washington%20(state)%20-%20kitsap%20county"
"puyallup indian reservation (wash.)",1,"erika-b.github.io/tchp_dev/browse.html#puyallup%20indian%20reservation%20(wash.)"
"vietnam, northern",1,"erika-b.github.io/tchp_dev/browse.html#vietnam,%20northern"
"vietnam, southern",1,"erika-b.github.io/tchp_dev/browse.html#vietnam,%20southern"
"united states",1,"erika-b.github.io/tchp_dev/browse.html#united%20states"
"united states -- washington (state)",1,"erika-b.github.io/tchp_dev/browse.html#united%20states%20--%20washington%20(state)"
"united states -- washington (state) -- yelm",1,"erika-b.github.io/tchp_dev/browse.html#united%20states%20--%20washington%20(state)%20--%20yelm"
"united states -- montana (state)",1,"erika-b.github.io/tchp_dev/browse.html#united%20states%20--%20montana%20(state)"
"united states -- alaska (state) -- sitka",1,"erika-b.github.io/tchp_dev/browse.html#united%20states%20--%20alaska%20(state)%20--%20sitka"
"united states -- washington -- seattle",1,"erika-b.github.io/tchp_dev/browse.html#united%20states%20--%20washington%20--%20seattle"
"united states—washington (state)—tacoma",1,"erika-b.github.io/tchp_dev/browse.html#united%20states%E2%80%94washington%20(state)%E2%80%94tacoma"
"united states—washington (state)—seattle",1,"erika-b.github.io/tchp_dev/browse.html#united%20states%E2%80%94washington%20(state)%E2%80%94seattle"
"united states—washington (state)—kirkland",1,"erika-b.github.io/tchp_dev/browse.html#united%20states%E2%80%94washington%20(state)%E2%80%94kirkland"
