title,description,creator,recipient,date,date-is-approximate,latitude,longitude,item-information,subject,related-publication,publisher-digital,source,original-identifier,identifier,rights,rightsstatement,type,format,language,relation,cdmid,objectid,youtubeid,object_thumb,object_download,reference_url
"Megan Aprile, research essay","","","","","","","","","","","","University of Washington Tacoma Community History Project","","chp1991-01essay","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","Text","application/pdf","","","10","tchp10","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/10","https://digitalcollections.lib.washington.edu//utils/getfile/collection/tacomacomm/id/10.pdf","erika-b.github.io/tchp_dev/items/tchp10.html"
"Bill Otto, Interview transcript","","","","","","","","","","","","University of Washington Tacoma Community History Project","","chp1991-01trascript","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","Text","application/pdf","","","11","tchp11","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/11","https://digitalcollections.lib.washington.edu//utils/getfile/collection/tacomacomm/id/11.pdf","erika-b.github.io/tchp_dev/items/tchp11.html"
"Bill Otto, audio","","","","","","","","","","","","University of Washington Tacoma Community History Project","","chp1991-01audio","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","Sound","audio/mp3","","","12","tchp12","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/12","https://digitalcollections.lib.washington.edu//utils/getstream/collection/tacomacomm/id/12","erika-b.github.io/tchp_dev/items/tchp12.html"
"Project bibliography","","","","","","","","","","","","University of Washington Tacoma Community History Project","","chp1991-01bibliography","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","Text","application/pdf","","","13","tchp13","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/13","https://digitalcollections.lib.washington.edu//utils/getfile/collection/tacomacomm/id/13.pdf","erika-b.github.io/tchp_dev/items/tchp13.html"
"A Brief Study of Land Use by Indian and Pioneer Communities on the Key Peninsula","The interview discusses Bill Otto&#39;s family and German heritage, his work in the lumber industry and as a family farmer. He also describes childhood activities in Longbranch, Washington, including playing baseball on a championship youth league baseball team in Pierce County.","","","1991","","","","","Otto, Bill, 1900- --Interviews; Pioneers--Washington (State)--Key Peninsula--Interviews; Family farms--Washington (State)--Key Peninsula; German Americans--Washington (State)--Key Peninsula; Logging--Washington (State)--Key Peninsula; Youth league baseball--Washington (State)--Pierce County; Key Peninsula (Wash.)--Social life and customs--20th century; Longbranch (Wash.)--Social life and customs--20th century; Pierce County (Wash.)--Social life and customs--20th century","","","University of Washington Tacoma Community History Project","","chp1991-01","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","text","cpd","","","14","tchp14","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/14","","erika-b.github.io/tchp_dev/items/tchp14.html"
"Dian Hathaway, research essay","","","","","","","","","","","","University of Washington Tacoma Community History Project","","chp1991-03essay","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","Text","application/pdf ","","","15","tchp15","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/15","https://digitalcollections.lib.washington.edu//utils/getfile/collection/tacomacomm/id/15.pdf","erika-b.github.io/tchp_dev/items/tchp15.html"
"Bob Gallucci, interview transcript","","","","","","","","","","","","University of Washington Tacoma Community History Project","","chp1991-03trascript","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","Text","application/pdf","","","16","tchp16","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/16","https://digitalcollections.lib.washington.edu//utils/getfile/collection/tacomacomm/id/16.pdf","erika-b.github.io/tchp_dev/items/tchp16.html"
"chp1991-03_bibliography","","","","","","","","","","","","University of Washington Tacoma Community History Project","","chp1991-03bibliography","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","Text","application/pdf","","","17","tchp17","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/17","https://digitalcollections.lib.washington.edu//utils/getfile/collection/tacomacomm/id/17.pdf","erika-b.github.io/tchp_dev/items/tchp17.html"
"Italians in Hilltop","The collection contains two interviews with Bob Gallucci, in which he discusses his experiences growing up as a second generation Italian American within a first generation immigrant extended family household in the Hilltop neighborhood of Tacoma, Washington during the pre- and post World War II years. Gallucci describes the attitudes of his immigrant parents, what life in Hilltop was like during the early and mid twentieth century, the current (1990s) problems of Hilltop, and his reasons for becoming active in issues relating to peace and social justice.","","","1991","","","","","Gallucci, Bob, 1920-1996--Interviews; Italian Americans--Washington (State)--Tacoma--Interviews; Italian Americans--Washington (State)--Tacoma; Italian American families--Washington (State)--Tacoma; Hilltop (Tacoma, Wash.)--Social conditions--20th century; Hilltop (Tacoma, Wash.)--Social life and customs--20th century","","","University of Washington Tacoma Community History Project","","chp1991-03","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","text","cpd","","","18","tchp18","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/18","","erika-b.github.io/tchp_dev/items/tchp18.html"
"Joseph Kosai, photograph","","","","","","","","","","","","University of Washington Tacoma Community History Project","","chp1991-04photograph","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","Image","image/jpg","","","19","tchp19","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/19","https://digitalcollections.lib.washington.edu//digital/iiif/tacomacomm/19/full/max/0/default.jpg","erika-b.github.io/tchp_dev/items/tchp19.html"
"Arlene Mihara, research essay","","","","","","","","","","","","University of Washington Tacoma Community History Project","","chp1991-04essay","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","Text","application/pdf","","","20","tchp20","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/20","https://digitalcollections.lib.washington.edu//utils/getfile/collection/tacomacomm/id/20.pdf","erika-b.github.io/tchp_dev/items/tchp20.html"
"Joseph Kosai, Interview trascript","","","","","","","","","","","","University of Washington Tacoma Community History Project","","chp1991-04trascript","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","Text","application/pdf","","","21","tchp21","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/21","https://digitalcollections.lib.washington.edu//utils/getfile/collection/tacomacomm/id/21.pdf","erika-b.github.io/tchp_dev/items/tchp21.html"
